uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
MG,Fruta de Leite,5262,29,205,9
MG,Frutal,41597,888,943,15
MG,Funilândia,4488,42,107,9
MG,Galiléia,5466,35,68,9
MG,Gameleiras,4403,21,140,9
MG,Glaucilândia,3676,29,46,9
MG,Goiabeira,3183,15,68,9
MG,Goianá,3952,50,104,9
MG,Gonçalves,3905,60,109,9
MG,Gonzaga,4827,69,146,9
MG,Gouveia,10740,193,197,9
MG,Governador Valadares,203794,6438,7426,21
MG,Grão Mogol,12201,96,536,11
MG,Grupiara,1590,12,89,9
MG,Guanhães,24680,576,739,13
MG,Guapé,10685,233,232,9
MG,Guaraciaba,8453,100,299,9
MG,Guaraciama,4551,41,88,9
MG,Guaranésia,15355,405,425,11
MG,Guarani,7288,78,186,9
MG,Guarará,3605,56,70,9
MG,Guarda-Mor,6044,90,115,9
MG,Guaxupé,38356,1575,1757,13
MG,Guidoval,5894,97,179,9
MG,Guimarânia,6645,108,168,9
MG,Guiricema,7219,97,155,9
MG,Gurinhatã,5386,38,67,9
MG,Heliodora,5196,80,170,9
MG,Iapu,8535,87,122,9
MG,Ibertioga,4839,65,118,9
MG,Ibiá,17531,306,391,11
MG,Ibiaí,6606,48,357,9
MG,Ibiracatu,6003,30,121,9
MG,Ibiraci,9064,141,178,9
MG,Ibirité,110476,5006,6199,15
MG,Ibitiúra de Minas,3146,31,67,9
MG,Ibituruna,2598,15,35,9
MG,Icaraí de Minas,7901,35,58,9
MG,Igarapé,28165,852,857,13
MG,Igaratinga,7470,152,125,9
MG,Iguatama,6737,116,102,9
MG,Ijaci,5198,106,114,9
MG,Ilicínea,9686,204,140,9
MG,Imbé de Minas,6185,34,813,9
MG,Inconfidentes,6454,123,143,9
MG,Indaiabira,6481,37,135,9
MG,Indianópolis,4906,67,155,9
MG,Ingaí,3018,56,83,9
MG,Inhapim,19986,243,459,11
MG,Inhaúma,5396,82,93,9
MG,Inimutaba,6045,110,136,9
MG,Ipaba,14297,120,175,11
MG,Ipanema,15183,222,269,11
MG,Ipatinga,183169,6248,7067,19
MG,Ipiaçu,3580,20,85,9
MG,Ipuiúna,7769,116,129,9
MG,Iraí de Minas,5501,43,85,9
MG,Itabira,89768,1981,2996,17
MG,Itabirinha,8892,91,214,9
MG,Itabirito,39486,1232,1387,13
MG,Itacambira,4934,33,69,9
MG,Itacarambi,13689,130,373,11
MG,Itaguara,9961,405,1193,9
MG,Itaipé,8777,67,213,9
MG,Itajubá,71828,2661,3818,17
MG,Itamarandiba,24323,356,755,13
MG,Itamarati de Minas,3762,31,76,9
MG,Itambacuri,18485,214,410,11
MG,Itambé do Mato Dentro,2591,27,84,9
MG,Itamogi,9490,171,293,9
MG,Itamonte,11301,209,236,9
MG,Itanhandu,12050,276,299,9
MG,Itanhomi,10203,103,211,9
MG,Itaobim,16882,181,360,11
MG,Itapagipe,10292,69,124,9
MG,Itapecerica,17550,373,587,11
MG,Itapeva,7105,148,181,9
MG,Itatiaiuçu,9438,164,361,9
MG,Itaú de Minas,12660,209,311,9
MG,Itaúna,68004,2421,2932,17
MG,Itaverava,5754,114,250,9
MG,Itinga,11432,98,217,11
MG,Itueta,4590,44,127,9
MG,Ituiutaba,77519,1783,1567,17
MG,Itumirim,5928,164,138,9
MG,Iturama,29212,328,475,13
MG,Itutinga,3786,67,104,9
MG,Jaboticatubas,13737,227,246,11
MG,Jacinto,9137,59,173,9
MG,Jacuí,6501,107,126,9
MG,Jacutinga,17922,309,407,11
MG,Jaguaraçu,3091,38,53,9
MG,Jaíba,23463,315,628,13
MG,Jampruca,4173,33,99,9
MG,Janaúba,51111,1166,1409,15
MG,Januária,48816,849,1162,15
MG,Japaraíba,3374,42,81,9
MG,Japonvar,8142,46,149,9
MG,Jeceaba,5908,68,189,9
MG,Jenipapo de Minas,5942,39,168,9
MG,Jequeri,10390,173,262,9
MG,Jequitaí,6970,61,196,9
MG,Jequitibá,5687,70,110,9
MG,Jequitinhonha,18152,197,403,11
MG,Jesuânia,4286,52,94,9
MG,Joaíma,11198,113,596,9
MG,Joanésia,5078,77,125,9
MG,João Monlevade,59074,2337,2956,15
MG,João Pinheiro,36993,535,1305,13
MG,Joaquim Felício,3314,14,71,9
MG,Jordânia,8173,50,185,9
MG,José Gonçalves de Minas,4028,11,89,9
MG,José Raydan,4365,35,124,9
MG,Josenópolis,3808,21,131,9
MG,Juatuba,20343,431,553,9
MG,Juiz de Fora,395425,15325,35029,19
MG,Juramento,4243,21,43,9
MG,Juruaia,8072,102,85,9
MG,Juvenília,5743,29,141,9
MG,Ladainha,12706,108,547,11
MG,Lagamar,6543,68,70,9
MG,Lagoa da Prata,34614,1400,1025,9
MG,Lagoa dos Patos,3994,21,77,9
MG,Lagoa Dourada,9706,246,353,9
MG,Lagoa Formosa,13727,266,294,11
MG,Lagoa Grande,7191,53,101,9
MG,Lagoa Santa,42432,1352,1912,15
MG,Lajinha,15944,267,532,11
MG,Lambari,16455,234,554,11
MG,Lamim,3398,54,179,9
MG,Laranjal,5684,62,167,9
MG,Lassance,5994,53,267,9
MG,Lavras,71345,3234,4340,17
MG,Leandro Ferreira,3302,41,74,9
MG,Leme do Prado,4109,11,76,9
MG,Leopoldina,40502,790,868,15
MG,Liberdade,4428,77,175,9
MG,Lima Duarte,14004,228,350,11
MG,Limeira do Oeste,5664,57,99,9
MG,Lontra,7981,70,171,9
MG,Luisburgo,5436,58,86,9
MG,Luislândia,6236,33,77,9
MG,Luminárias,4413,60,71,9
MG,Luz,14815,293,251,11
MG,Machacalis,5901,58,110,9
MG,Machado,29481,964,822,13
MG,Madre de Deus de Minas,4068,88,119,9
MG,Malacacheta,15689,139,1232,11
MG,Mamonas,5758,13,50,9
MG,Manga,16333,141,2263,9
MG,Manhuaçu,56091,1444,2059,17
MG,Manhumirim,16604,301,313,11
MG,Mantena,19611,226,330,11
MG,Mar de Espanha,9439,131,253,9
MG,Maravilhas,6130,47,99,9
MG,Maria da Fé,12369,288,531,9
MG,Mariana,46560,1010,1687,15
MG,Marilac,4158,63,141,9
MG,Mário Campos,11206,250,295,9
MG,Maripá de Minas,3024,25,83,9
MG,Marliéria,4223,46,47,9
MG,Marmelópolis,2791,46,76,9
MG,Martinho Campos,11292,230,277,9
MG,Martins Soares,6875,89,116,9
MG,Mata Verde,6232,47,177,9
MG,Materlândia,4559,51,110,9
MG,Mateus Leme,23368,816,1276,9
MG,Mathias Lobato,3125,18,61,9
MG,Matias Barbosa,11536,309,402,9
MG,Matias Cardoso,6739,50,176,9
MG,Matipó,15196,275,377,11
MG,Mato Verde,10656,124,212,9
MG,Matozinhos,29063,1085,1095,13
MG,Matutina,3572,38,221,9
MG,Medeiros,3119,44,49,9
MG,Medina,16477,206,587,11
MG,Mendes Pimentel,5415,44,114,9
MG,Mercês,8472,134,220,9
MG,Mesquita,5558,100,207,9
MG,Minas Novas,23033,219,410,13
MG,Minduri,3395,26,66,9
MG,Mirabela,11154,88,192,9
MG,Miradouro,7645,143,260,9
MG,Miraí,10555,103,301,9
MG,Miravânia,4055,16,84,9
MG,Moeda,5462,50,132,9
MG,Moema,6635,80,92,9
MG,Monjolos,2417,18,75,9
MG,Monsenhor Paulo,6787,100,164,9
MG,Montalvânia,13209,79,1716,11
MG,Monte Alegre de Minas,15492,243,304,11
MG,Monte Azul,17935,128,456,11
MG,Monte Belo,10807,236,241,9
MG,Monte Carmelo,35835,874,909,9
MG,Monte Formoso,4507,23,93,9
MG,Monte Santo de Minas,17280,427,463,11
MG,Monte Sião,17659,491,500,9
MG,Montes Claros,262496,7702,20905,23
MG,Montezuma,5615,44,367,9
MG,Morada Nova de Minas,7549,85,136,9
MG,Morro da Garça,2647,21,55,9
MG,Morro do Pilar,3450,31,101,9
MG,Munhoz,6065,120,490,9
MG,Muriaé,77046,1680,2578,17
MG,Mutum,21204,346,658,11
MG,Muzambinho,17614,453,667,11
MG,Nacip Raydan,3150,17,58,9
MG,Nanuque,31168,411,582,13
MG,Naque,5501,73,100,9
MG,Natalândia,3021,20,31,9
MG,Natércia,4211,80,105,9
MG,Nazareno,6308,121,121,9
MG,Nepomuceno,20561,675,1147,11
MG,Ninheira,8073,122,266,9
MG,Nova Belém,3296,18,59,9
MG,Nova Era,15199,308,394,9
MG,Nova Lima,67756,2223,4093,10
MG,Nova Módica,3295,29,95,9
MG,Nova Ponte,11539,94,201,9
MG,Nova Porteirinha,5089,56,217,9
MG,Nova Resende,12304,209,214,9
MG,Nova Serrana,51050,1927,1055,13
MG,Nova União,5516,96,104,9
MG,Novo Cruzeiro,24581,224,521,13
MG,Novo Oriente de Minas,9071,88,247,9
MG,Novorizonte,4559,34,159,9
MG,Olaria,2156,19,47,9
MG,Olhos D'Água,5178,24,83,9
