uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RS,Salvador das Missões,2393,15,16,9
RS,Salvador do Sul,5058,117,80,9
RS,Sananduva,12793,419,209,9
RS,Santa Bárbara do Sul,6892,142,74,9
RS,Santa Cecília do Sul,1728,9,18,9
RS,Santa Clara do Sul,4844,54,50,9
RS,Santa Cruz do Sul,99928,3394,3324,17
RS,Santa Margarida do Sul,2471,12,23,9
RS,Santa Maria,203043,6444,6796,21
RS,Santa Maria do Herval,5241,45,222,9
RS,Santa Rosa,56154,1545,1147,15
RS,Santa Tereza,1662,16,22,9
RS,Santa Vitória do Palmar,24832,732,427,13
RS,Santana da Boa Vista,6097,127,83,9
RS,Santana do Livramento,73098,2748,2390,17
RS,Santiago,40118,1384,554,13
RS,Santo Ângelo,61686,2192,1276,15
RS,Santo Antônio da Patrulha,32848,1198,689,13
RS,Santo Antônio das Missões,8454,135,100,9
RS,Santo Antônio do Palma,1896,15,19,9
RS,Santo Antônio do Planalto,1925,29,29,9
RS,Santo Augusto,11842,320,218,9
RS,Santo Cristo,12773,290,181,9
RS,Santo Expedito do Sul,2166,54,29,9
RS,São Borja,49521,974,425,15
RS,São Domingos do Sul,2598,29,79,9
RS,São Francisco de Assis,16420,313,144,11
RS,São Francisco de Paula,16468,522,276,9
RS,São Gabriel,47085,992,532,15
RS,São Jerônimo,16618,402,547,9
RS,São João da Urtiga,4167,77,35,9
RS,São João do Polêsine,2474,32,43,9
RS,São Jorge,2398,19,14,9
RS,São José das Missões,2119,42,25,9
RS,São José do Herval,2116,51,32,9
RS,São José do Hortêncio,3615,53,57,9
RS,São José do Inhacorá,2116,6,11,9
RS,São José do Norte,21821,431,333,9
RS,São José do Ouro,5978,970,303,9
RS,São José do Sul,1784,33,39,9
RS,São José dos Ausentes,2850,25,24,9
RS,São Leopoldo,164141,10624,10973,13
RS,São Lourenço do Sul,35937,805,568,11
RS,São Luiz Gonzaga,27319,751,477,13
RS,São Marcos,17619,501,712,9
RS,São Martinho,4779,78,59,9
RS,São Martinho da Serra,2956,28,49,9
RS,São Miguel das Missões,5623,93,57,9
RS,São Nicolau,4827,52,181,9
RS,São Paulo das Missões,5075,42,33,9
RS,São Pedro da Serra,2874,37,40,9
RS,São Pedro das Missões,1484,13,9,9
