uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
PI,São Luis do Piauí,2478,3,40,9
PI,São Miguel da Baixa Grande,2542,9,66,9
PI,São Miguel do Fidalgo,2326,6,71,9
PI,São Miguel do Tapuio,13716,92,446,11
PI,São Pedro do Piauí,11310,105,242,9
PI,São Raimundo Nonato,20917,282,451,13
PI,Sebastião Barros,3731,28,103,9
PI,Sebastião Leal,3570,30,104,9
PI,Sigefredo Pacheco,7269,61,120,9
PI,Simões,11877,227,322,9
PI,Simplício Mendes,9656,72,203,9
PI,Socorro do Piauí,4596,13,91,9
PI,Sussuapara,5768,47,174,9
PI,Tamboril do Piauí,2341,16,95,9
PI,Tanque do Piauí,2566,16,74,9
PI,Teresina,531953,13396,16779,29
PI,União,30987,462,708,13
PI,Uruçuí,15345,167,364,11
PI,Valença do Piauí,14565,166,477,11
PI,Várzea Branca,3914,30,113,9
PI,Várzea Grande,4116,16,110,9
PI,Vera Mendes,3531,33,143,9
PI,Vila Nova do Piauí,2895,13,78,9
PI,Wall Ferraz,3896,22,169,9
