uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
SP,Louveira,31037,881,902,13
SP,Lucélia,14957,438,493,11
SP,Lucianópolis,2085,39,154,9
SP,Luís Antônio,9458,126,221,9
SP,Luiziânia,4126,32,62,9
SP,Lupércio,3739,53,70,9
SP,Lutécia,2657,19,37,9
SP,Macatuba,13574,309,597,11
SP,Macaubal,6126,142,126,9
SP,Macedônia,3442,42,71,9
SP,Magda,3079,35,36,9
SP,Mairinque,37187,1584,1645,13
SP,Mairiporã,59946,2263,4783,13
SP,Manduri,7388,197,226,9
SP,Marabá Paulista,3541,40,57,9
SP,Maracaí,10917,131,482,9
SP,Marapoama,2748,35,59,9
SP,Mariápolis,3348,72,88,9
SP,Marília,169074,8448,8971,13
SP,Marinópolis,1916,16,26,9
SP,Martinópolis,19180,377,376,11
SP,Matão,63012,3009,3458,11
SP,Mauá,303058,18833,46846,23
SP,Mendonça,4410,72,99,9
SP,Meridiano,3970,40,104,9
SP,Mesópolis,1839,7,44,9
SP,Miguelópolis,17273,259,1100,11
SP,Mineiros do Tietê,9316,319,259,9
SP,Mira Estrela,2684,25,57,9
SP,Miracatu,17404,299,1568,11
SP,Mirandópolis,20639,527,595,9
SP,Mirante do Paranapanema,14781,224,213,9
SP,Mirassol,41241,1819,1919,10
SP,Mirassolândia,3646,76,73,9
SP,Mococa,53827,2631,2883,15
SP,Mogi das Cruzes,296944,15595,19132,23
SP,Mogi Guaçu,111313,6611,7114,11
SP,Mogi Mirim,67514,3524,4281,17
SP,Mombuca,3351,46,69,9
SP,Monções,2236,18,54,9
SP,Mongaguá,43123,953,2100,13
SP,Monte Alegre do Sul,6052,146,239,9
SP,Monte Alto,37179,1452,1125,13
SP,Monte Aprazível,16658,500,470,9
SP,Monte Azul Paulista,15585,367,1413,11
SP,Monte Castelo,3427,37,97,9
SP,Monte Mor,39809,1678,1553,15
SP,Monteiro Lobato,3714,55,181,9
SP,Morro Agudo,20541,521,499,11
SP,Morungaba,9962,334,386,9
SP,Motuca,3760,71,85,9
SP,Murutinga do Sul,3654,31,73,9
SP,Nantes,2450,12,19,9
SP,Narandiba,4360,39,66,9
SP,Natividade da Serra,6895,70,127,9
SP,Nazaré Paulista,13953,391,561,11
SP,Neves Paulista,7587,259,392,9
SP,Nhandeara,8206,179,405,9
SP,Nipoã,4059,52,63,9
SP,Nova Aliança,5194,91,140,9
SP,Nova Campina,7163,69,69,9
SP,Nova Canaã Paulista,2275,13,42,9
SP,Nova Castilho,1374,9,24,9
SP,Nova Europa,8064,141,153,9
SP,Nova Granada,15608,438,829,9
SP,Nova Guataporanga,2025,13,82,9
SP,Nova Independência,3597,30,127,9
SP,Nova Luzitânia,2945,21,60,9
SP,Nova Odessa,44032,2233,2231,9
SP,Novais,3713,30,115,9
SP,Novo Horizonte,28979,995,763,13
SP,Nuporanga,5794,56,96,9
SP,Pacaembu,9175,212,177,9
SP,Palestina,8867,165,112,9
SP,Palmares Paulista,7483,165,295,9
SP,Palmeira D'Oeste,8039,170,137,9
SP,Palmital,17476,366,779,11
SP,Panorama,10734,324,300,9
SP,Paraguaçu Paulista,32470,1108,766,13
SP,Paraibuna,14514,302,305,11
SP,Paraíso,5045,125,234,9
SP,Paranapanema,13871,343,331,9
SP,Paranapuã,3097,43,96,9
SP,Parapuã,8736,236,237,9
SP,Pardinho,5442,130,129,9
