uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
BA,Ubaitaba,13290,126,370,11
BA,Ubatã,13508,127,394,11
BA,Uibaí,11780,104,237,9
BA,Umburanas,10908,66,272,11
BA,Una,14808,164,2575,11
BA,Urandi,12587,138,188,11
BA,Uruçuca,18156,152,458,11
BA,Utinga,13240,120,490,11
BA,Valença,62262,1342,2151,15
BA,Valente,18789,185,382,11
BA,Várzea da Roça,10990,126,369,9
BA,Várzea do Poço,6824,74,192,9
BA,Várzea Nova,9415,89,222,9
BA,Varzedo,7483,65,190,9
BA,Vera Cruz,31738,430,1165,13
BA,Vereda,6474,34,206,9
BA,Vitória da Conquista,230598,5111,13592,21
BA,Wagner,7511,51,408,9
BA,Wanderley,10273,42,191,9
BA,Wenceslau Guimarães,15561,190,1682,11
BA,Xique-Xique,34582,292,616,13
